Metric,Season,Player,FG%,3P%,FT%,PTS_per_MIN,Overall_Shooting%,BLK_per_GP,STL_per_GP
FG%,2016 - 2017,Montrezl Harrell,0.65217394,0.14285715,0.6280992,0.49548703,0.6384778,0.7241379,0.3448276
FG%,2017 - 2018,Clint Capela,0.6523669,0.0,0.56031126,0.50437516,0.6263383,1.8648648,0.7837838
FG%,2010 - 2011,Tyson Chandler,0.65356266,0.0,0.73220336,0.36337137,0.6866097,1.081081,0.4864865
FG%,2017 - 2018,Jakob Poeltl,0.6588542,0.5,0.5940594,0.37216935,0.6447639,1.2195122,0.47560975
FG%,2013 - 2014,Mason Plumlee,0.6589404,0.0,0.62564105,0.40790713,0.642,0.78571427,0.7
FG%,2016 - 2017,Lucas Nogueira,0.6602564,0.25,0.6567164,0.23247266,0.63829786,1.5614035,0.9122807
FG%,2016 - 2017,Rudy Gobert,0.6608,0.0,0.6533613,0.4143888,0.6569873,2.6419754,0.60493827
FG%,2019 - 2020,DeAndre Jordan,0.66550523,0.0,0.6803279,0.37676227,0.66992664,0.9285714,0.32142857
FG%,2014 - 2015,Tyson Chandler,0.6659091,0.0,0.71984434,0.33729985,0.68579626,1.2133334,0.56
FG%,2019 - 2020,Tony Bradley,0.6666667,1.0,0.65217394,0.42973462,0.6680672,0.5689655,0.2413793
FG%,2018 - 2019,Rudy Gobert,0.66853935,0.0,0.6360153,0.4983118,0.6547812,2.308642,0.8148148
FG%,2019 - 2020,Jaxson Hayes,0.66923076,0.25,0.64736843,0.43715847,0.6563877,0.859375,0.40625
FG%,2013 - 2014,DeAndre Jordan,0.67572814,0.0,0.42780748,0.29821628,0.5714286,2.4756098,0.9756098
FG%,2011 - 2012,Tyson Chandler,0.67887324,0.0,0.6888889,0.33923805,0.68154764,1.4354838,0.9032258
FG%,2019 - 2020,Damian Jones,0.6797753,0.22222222,0.7380952,0.3449831,0.6826568,0.72727275,0.47272727
FG%,2019 - 2020,Nerlens Noel,0.68401486,0.33333334,0.754717,0.39840284,0.7010582,1.4918033,0.9672131
FG%,2010 - 2011,DeAndre Jordan,0.686217,0.0,0.4516129,0.27652922,0.5939177,1.775,0.5125
FG%,2019 - 2020,Rudy Gobert,0.69299823,0.0,0.6302729,0.4398148,0.6666667,1.9852941,0.75
FG%,2018 - 2019,Mitchell Robinson,0.6941581,0.0,0.6,0.35674882,0.6643193,2.439394,0.7878788
FG%,2015 - 2016,DeAndre Jordan,0.7027559,0.0,0.42972535,0.37727132,0.552305,2.2987013,0.66233766
FG%,2014 - 2015,DeAndre Jordan,0.70973784,0.25,0.3970276,0.335461,0.5619425,2.2317073,0.9878049
FG%,2016 - 2017,DeAndre Jordan,0.71403813,0.0,0.48235294,0.40034238,0.6145418,1.654321,0.6296296
FG%,2018 - 2019,Damian Jones,0.7162162,0.0,0.6486486,0.3173828,0.6936937,1.0416666,0.5
